phrase,severity,category
I'm gonna hurt someone idk today,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here lowkey soon,99,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything ngl right now,69,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here fr soon,66,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it idk right now,98,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it idk tonight,73,Domestic risk - requires attention based on phrasing and urgency
I took too much fr today,90,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore highkey right now,95,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me literally today,66,Passive ideation - requires attention based on phrasing and urgency
I feel empty fr today,93,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it seriously right now,95,Imminent self-harm - requires attention based on phrasing and urgency
I took too much literally asap,96,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me tbh asap,98,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh tonight,95,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it fr soon,68,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore seriously tonight,88,Threat to others - requires attention based on phrasing and urgency
I took too much seriously soon,84,Threat to others - requires attention based on phrasing and urgency
I feel empty tbh tonight,63,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore tbh tonight,65,Emotional distress - requires attention based on phrasing and urgency
I feel empty literally today,58,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore tbh asap,75,Domestic risk - requires attention based on phrasing and urgency
I took too much idk tonight,80,Threat to others - requires attention based on phrasing and urgency
I feel empty idk soon,96,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it highkey tonight,81,Threat to others - requires attention based on phrasing and urgency
life ain't worth it literally right now,71,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it tbh right now,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I took too much tbh soon,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything idk tonight,79,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it fr soon,100,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore seriously today,75,Passive ideation - requires attention based on phrasing and urgency
I feel empty highkey today,86,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore highkey today,87,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore tbh soon,93,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me highkey asap,99,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone literally tonight,56,Emotional distress - requires attention based on phrasing and urgency
I feel empty idk tonight,68,Passive ideation - requires attention based on phrasing and urgency
I wanna end it lowkey soon,66,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything lowkey right now,100,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything seriously soon,97,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here seriously asap,79,Domestic risk - requires attention based on phrasing and urgency
I took too much ngl soon,66,Passive ideation - requires attention based on phrasing and urgency
I took too much lowkey tonight,66,Emotional distress - requires attention based on phrasing and urgency
I wanna end it lowkey today,99,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl today,60,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone idk tonight,94,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it seriously today,71,Domestic risk - requires attention based on phrasing and urgency
I wanna end it lowkey tonight,61,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore lowkey today,72,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me tbh today,95,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything highkey today,72,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me literally today,73,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here seriously soon,73,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything idk today,55,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it tbh asap,92,Domestic risk - requires attention based on phrasing and urgency
I took too much literally tonight,88,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it literally asap,93,Domestic risk - requires attention based on phrasing and urgency
